City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,keflavik,64.0049,-22.5624,1.24,60,0,5.66,IS,1701995029
201,moose jaw,50.4001,-105.5344,2.14,93,100,6.69,CA,1701994926
202,taulaga,-11.0553,-171.0883,28.11,76,99,3.77,AS,1701995030
203,charters towers,-20.1,146.2667,27.47,43,45,6.42,AU,1701995030
204,shibirghan,36.6676,65.7529,11.86,30,100,3.04,AF,1701995031
205,haiku-pauwela,20.9219,-156.3051,27.01,58,40,4.12,US,1701995031
206,epe,6.5841,3.9834,26.06,88,99,2.16,NG,1701995031
207,zaozersk,69.4005,32.4476,-16.52,95,76,4.19,RU,1701994518
208,noosa heads,-26.3833,153.15,28.39,68,15,4.89,AU,1701995032
209,karratha,-20.7377,116.8463,33.76,22,4,7.96,AU,1701994439
210,kharan,28.5833,65.4167,12.62,20,0,1.74,PK,1701995033
211,kavieng,-2.5744,150.7967,27.91,78,90,3.05,PG,1701995033
212,barranca,-10.75,-77.7667,20.14,85,40,3.54,PE,1701995034
213,guerrero negro,27.9769,-114.0611,19.34,68,0,8.65,MX,1701994741
214,caleta de carquin,-11.0925,-77.6267,20.52,85,40,4.51,PE,1701994499
215,bryne,58.7354,5.6477,2.21,70,72,3.6,NO,1701994585
216,flying fish cove,-10.4217,105.6791,26.82,78,75,3.09,CX,1701994778
217,bengkulu,-3.8004,102.2655,24.36,92,100,1.75,ID,1701994528
218,meadow lakes,61.6247,-149.6011,-3.78,72,100,5.66,US,1701995036
219,kosh-agach,50.0,88.6667,-25.39,90,41,0.89,RU,1701995036
220,mancha real,37.7863,-3.6123,12.99,92,100,2.24,ES,1701995037
221,ad dabbah,18.05,30.95,18.67,23,26,4.73,SD,1701995037
222,edd,13.9297,41.6925,25.67,66,6,3.87,ER,1701995038
223,alpine,32.835,-116.7664,15.87,72,0,4.12,US,1701995038
224,kittila,67.6647,24.8936,-10.92,85,100,6.69,FI,1701995039
225,anahuac,27.2333,-100.15,21.79,68,59,7.09,MX,1701995039
226,homer,59.6425,-151.5483,-2.07,80,100,4.12,US,1701995039
227,codrington,-38.2667,141.9667,33.23,28,98,9.99,AU,1701995040
228,namibe,-15.1961,12.1522,22.8,78,97,2.61,AO,1701995040
229,borovskoy,53.8,64.15,-27.25,96,6,2.27,KZ,1701995041
230,westville,41.5414,-86.9006,7.92,81,0,4.12,US,1701995041
231,mata-utu,-13.2816,-176.1745,28.35,79,77,5.87,WF,1701994462
232,namsos,64.4662,11.4957,-3.97,62,18,5.66,NO,1701994350
233,vyazemskiy,47.5378,134.7525,-15.11,87,36,1.7,RU,1701995042
234,antsiranana,-12.2787,49.2917,25.72,80,10,6.24,MG,1701995043
235,crane,31.3974,-102.3501,19.39,28,1,2.99,US,1701994478
236,carauari,-4.8828,-66.8958,24.1,96,47,1.31,BR,1701995044
237,borogontsy,62.6683,131.1683,-34.08,97,100,2.6,RU,1701994448
238,hanzhong,33.0728,107.0303,7.31,77,61,0.78,CN,1701995044
239,dudinka,69.4058,86.1778,-27.96,91,9,4.92,RU,1701995045
240,heroica caborca,30.7167,-112.15,24.37,18,6,3.41,MX,1701994597
241,klyuchi,52.2667,79.1667,-22.11,71,82,3.77,RU,1701994816
242,sarandi del yi,-33.35,-55.6333,15.02,81,28,4.46,UY,1701995046
243,lospalos,-8.5186,127.0025,29.42,55,52,1.3,TL,1701995047
244,rabo de peixe,37.8,-25.5833,18.73,99,75,5.66,PT,1701995047
245,la foa,-21.7108,165.8276,27.4,52,100,3.05,NC,1701995047
246,la passe,45.5549,-0.8967,12.13,93,100,4.98,FR,1701995048
247,harstad,68.799,16.5293,-1.58,74,100,8.49,NO,1701995048
248,nishinoomote,30.7333,131.0,15.31,54,20,1.54,JP,1701994547
249,usogorsk,63.4106,48.6872,-29.63,99,15,0.44,RU,1701994760
250,i-n-salah,27.1935,2.4607,17.47,34,67,4.35,DZ,1701995050
251,kupang,-10.1667,123.5833,29.32,89,40,1.54,ID,1701995050
252,gamba,-2.65,10.0,26.46,84,100,2.95,GA,1701994539
253,yuzhno-kurilsk,44.0306,145.8556,3.54,89,90,11.87,RU,1701995024
254,birao,10.2849,22.7882,20.82,20,26,2.4,CF,1701995051
255,safi,32.1667,-8.8333,14.38,87,100,4.5,MA,1701995052
256,mount isa,-20.7333,139.5,33.87,24,2,2.57,AU,1701995052
257,parry sound,45.3501,-80.033,1.03,93,95,1.65,CA,1701995053
258,north battleford,52.7834,-108.2847,1.05,80,100,4.63,CA,1701994891
259,porto franco,-6.3383,-47.3992,26.92,66,63,1.7,BR,1701995054
260,kattivakkam,13.2167,80.3167,26.05,84,56,3.25,IN,1701994557
261,eirunepe,-6.6603,-69.8736,23.74,97,66,0.91,BR,1701995055
262,al kharijah,25.4514,30.5464,16.54,46,41,2.76,EG,1701995056
263,port alfred,-33.5906,26.891,20.75,93,30,2.22,ZA,1701995056
264,taltal,-25.4,-70.4833,18.13,77,22,1.65,CL,1701994821
265,la mira,18.035,-102.3266,26.34,75,25,1.23,MX,1701995057
266,pacific grove,36.6177,-121.9166,14.25,84,100,3.6,US,1701995057
267,flekkefjord,58.2971,6.6607,0.53,80,87,7.57,NO,1701995058
268,polyarnyye zori,67.3661,32.4981,-16.68,99,99,1.52,RU,1701995058
269,flin flon,54.7682,-101.865,-3.09,93,100,1.03,CA,1701995059
270,sechura,-5.5569,-80.8222,23.14,70,42,8.12,PE,1701995059
271,bang saphan,11.2126,99.5117,23.97,87,38,1.49,TH,1701995060
272,glace bay,46.1969,-59.957,-1.23,72,100,8.23,CA,1701994567
273,bethanie,-26.4833,17.15,19.99,22,0,2.76,NA,1701995061
274,nobres,-14.7203,-56.3275,29.5,43,30,0.5,BR,1701995061
275,tazacorte,28.629,-17.9293,19.54,76,75,4.63,ES,1701994596
276,santarem,-2.4431,-54.7083,29.07,74,0,4.12,BR,1701995062
277,greenville,35.6127,-77.3663,8.02,61,0,2.06,US,1701994505
278,inhambane,-23.865,35.3833,23.85,81,56,3.58,MZ,1701995063
279,qui nhon,13.7667,109.2333,22.71,91,95,3.46,VN,1701995063
280,utrik,11.2278,169.8474,27.51,78,50,10.55,MH,1701995064
281,tocopilla,-22.092,-70.1979,19.27,72,32,3.34,CL,1701994914
282,taranagar,28.6709,75.0351,15.37,31,0,1.55,IN,1701995065
283,mouila,-1.8685,11.0559,23.36,98,93,0.46,GA,1701995065
284,tabou,4.423,-7.3528,26.67,79,30,3.4,CI,1701995066
285,kurumkan,54.3,110.3,-22.15,93,35,1.79,RU,1701995059
286,el calafate,-50.3408,-72.2768,16.65,51,56,3.52,AR,1701995067
287,miastko,54.0028,16.9826,-1.62,96,99,3.09,PL,1701995067
288,nova sintra,14.8667,-24.7167,22.15,68,77,3.37,CV,1701995068
289,ulety,51.3572,112.4849,-21.7,80,97,6.64,RU,1701995068
290,mumford,5.2618,-0.759,26.78,82,100,3.62,GH,1701995069
291,saldanha,-33.0117,17.9442,16.92,92,3,4.27,ZA,1701995069
292,nchelenge,-9.3451,28.734,21.25,87,34,1.45,ZM,1701995070
293,pyay,18.8167,95.2167,22.2,78,70,0.54,MM,1701995070
